Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Revenue_recalc,is_return,year,month,day,day_of_week,profit_margin,revenue_per_unit
2000,Kids,Training,SuperRep Go,M,3,4321.69,0.47,0.00,2024-03-09,Online,Bangalore,-770.45,6871.48,False,2024,3,9,Saturday,-0.11,2290.49
2001,Women,Soccer,Tiempo Legend,M,3,4957.93,0.00,0.00,2024-07-09,Retail,Hyderabad,-112.53,14873.79,False,2024,7,9,Tuesday,-0.01,4957.93
2002,Women,Soccer,Premier III,M,4,8534.07,0.00,0.00,2025-07-11,Retail,Mumbai,3337.34,34136.28,False,2025,7,11,Friday,0.10,8534.07
2003,Kids,Lifestyle,Blazer Mid,L,3,9673.57,0.00,0.00,2024-04-10,Online,Pune,3376.85,29020.71,False,2024,4,10,Wednesday,0.12,9673.57
2004,Kids,Running,React Infinity,XL,3,6077.13,0.00,0.00,2024-09-12,Retail,Delhi,187.89,18231.39,False,2024,9,12,Thursday,0.01,6077.13
2005,Women,Training,Flex Trainer,M,1,7363.96,0.00,0.00,2024-10-14,Retail,Delhi,1415.98,7363.96,False,2024,10,14,Monday,0.19,7363.96
2006,Men,Training,SuperRep Go,M,3,6819.78,0.00,0.00,2025-04-06,Online,Bangalore,1802.09,20459.34,False,2025,4,6,Sunday,0.09,6819.78
2007,Kids,Training,SuperRep Go,M,1,4520.97,0.32,0.00,2024-12-21,Retail,Bangalore,2928.36,3074.26,False,2024,12,21,Saturday,0.95,3074.26
2009,Men,Soccer,Mercurial Superfly,M,4,7982.20,0.00,0.00,2024-09-01,Online,Pune,3929.61,31928.80,False,2024,9,1,Sunday,0.12,7982.20
2010,Kids,Lifestyle,Waffle One,L,1,7949.83,0.00,0.00,2025-01-16,Online,Pune,1965.56,7949.83,False,2025,1,16,Thursday,0.25,7949.83
2013,Kids,Training,SuperRep Go,L,3,9671.05,0.00,0.00,2024-09-19,Online,Hyderabad,299.34,29013.15,False,2024,9,19,Thursday,0.01,9671.05
2014,Women,Running,React Infinity,L,2,3893.88,0.00,0.00,2025-04-12,Online,Bangalore,-1044.40,7787.75,False,2025,4,12,Saturday,-0.13,3893.88
